1600,38,131.497136592865
1600,38,132.50714206695557
3200,40,207.11362743377686
3200,39,211.02665042877197
4800,38,282.52255511283875
4800,41,284.7099463939667
3200,39,204.31700921058655
3200,39,206.98302340507507
1600,38,127.75007128715515
1600,38,129.65707969665527
1600,39,130.10777831077576
4800,39,290.58227825164795
4800,38,288.96926951408386
1600,39,133.40117645263672
3200,40,214.68374133110046
4800,40,289.0682256221771
3200,39,212.1906623840332
3200,39,213.91203117370605
3200,37,209.9623396396637
1600,38,130.69928789138794
4800,39,293.07145047187805
1600,38,126.34860110282898
4800,39,279.77032232284546
1600,37,120.43742680549622
3200,39,188.26408743858337
4800,39,262.24042677879333
3200,39,175.98148131370544
4800,39,249.23073148727417
1600,39,88.93609929084778
4800,39,196.7140564918518
